rt_true,da_true,load_true,rt_pred,da_pred,load_pred
79.23,109.88,4270.1465,60.0116,75.2301,3633.8383
79.29,109.88,4305.2148,65.3332,72.6643,3716.3951
79.9,109.88,4334.3486,61.5764,70.6449,3629.2726
79.84,109.88,4338.4287,58.4296,66.7961,3612.3157
80.13,109.88,4373.3218,56.0894,72.371,3626.7624
80.11,109.88,4423.4316,60.9545,76.3068,3569.4661
80.65,109.88,4441.5659,55.2512,79.3129,3603.6985
81.74,109.88,4444.1738,53.0718,73.8447,3720.8416
80.08,125.0,4456.4497,64.3881,79.5354,3736.8704
81.26,125.0,4473.5039,66.5922,76.5825,3707.0601
80.07,125.0,4499.8662,73.272,82.8018,3789.5275
80.08,125.0,4531.562,81.5117,78.9492,3846.5424
83.62,125.0,4528.7769,81.4732,75.0186,3865.8471
85.03,125.0,4545.1123,87.5636,72.2015,4015.5699
85.03,125.0,4565.396,86.9301,75.5511,4040.2341
84.67,125.0,4556.333,93.3584,73.0578,4029.019
84.67,125.0,4550.8027,59.7404,76.4674,4041.5517
84.71,125.0,4573.083,75.2586,68.1824,3998.7704
84.74,125.0,4566.8569,72.7045,67.5822,4046.0308
84.81,125.0,4544.9062,83.9211,68.8554,3961.1877
88.38,195.16,4576.3721,54.0168,71.4358,4003.0011
88.35,195.16,4589.562,73.8959,74.8336,4029.2203
85.76,195.16,4592.7788,76.9507,76.2603,4051.1215
88.12,195.16,4615.3804,82.7919,78.2616,4076.1328
76.57,195.16,4624.981,73.2482,83.7244,4147.079
107.31,195.16,4618.3823,83.1542,79.2296,4158.0801
564.58,195.16,4604.4512,80.9845,78.684,4189.9124
97.61,195.16,4622.8188,86.2931,80.7814,4176.4684
100.82,195.16,4621.1177,84.0994,82.9157,4235.9506
86.97,195.16,4626.4434,93.5759,79.7684,4233.3181
90.02,195.16,4638.4272,82.4649,87.5406,4195.4378
135.77,195.16,4658.1602,80.4175,92.5708,4249.9817
135.07,220.06,4645.1577,74.2728,90.282,4179.3268
106.65,220.06,4658.3232,84.8775,83.2285,4274.005
106.41,220.06,4683.0933,77.5426,97.6681,4303.9957
126.85,220.06,4713.1299,78.8084,99.6429,4428.0947
124.34,220.06,4731.5557,63.3169,112.9159,4367.5277
124.34,220.06,4720.1445,81.1745,90.7566,4415.9848
124.8,220.06,4733.1592,73.284,108.6763,4421.6576
124.8,220.06,4740.5884,87.6786,97.3937,4434.7642
126.0,220.06,4716.5669,76.1443,126.9645,4494.9646
119.66,220.06,4730.5806,75.943,136.3947,4522.9128
124.35,220.06,4751.2842,69.5764,138.3516,4515.1697
124.35,220.06,4756.6611,80.8934,117.7375,4583.2497
119.78,236.78,4773.2275,89.4782,141.2614,4508.4915
119.78,236.78,4766.2954,81.6928,115.161,4454.4675
123.36,236.78,4773.6406,69.8939,141.8157,4571.4754
188.49,236.78,4801.8608,90.8664,117.801,4559.3545
188.49,236.78,4792.3428,86.7864,141.8366,4589.7232
177.64,236.78,4822.0996,100.8638,142.1986,4643.3775
177.64,236.78,4845.2778,67.3309,147.8002,4682.6935
174.78,236.78,4856.3994,81.2762,138.3239,4725.5615
178.01,236.78,4865.2231,88.7612,160.8679,4683.0893
137.86,236.78,4871.9536,98.9882,143.9966,4730.0336
133.38,236.78,4882.9766,109.6857,149.6182,4790.0593
215.08,236.78,4903.2471,133.2684,140.9208,4840.0568
182.53,224.35,4883.4653,101.9765,155.7982,4829.1198
198.58,224.35,4905.2222,89.386,145.1869,4784.9167
182.03,224.35,4897.5464,79.3594,162.8537,4801.4392
130.03,224.35,4913.1025,91.1803,142.3467,4688.5485
172.37,224.35,4915.6108,104.7515,145.6119,4677.8389
181.94,224.35,4951.3408,101.5199,135.3252,4690.2573
306.36,224.35,4973.8867,108.0096,120.3487,4653.0094
308.4,224.35,4929.9004,112.4378,142.5201,4606.4909
307.92,224.35,4946.4951,120.5285,225.6097,4779.1234
402.7,224.35,4929.1396,115.7976,225.483,4795.0701
359.04,224.35,4942.1733,141.037,222.3128,4795.269
174.15,224.35,4931.9888,123.2672,181.1982,4675.562
164.24,138.0,4913.5933,108.4125,200.4502,4672.6355
135.26,138.0,4926.8682,160.0722,196.3927,4602.0783
163.12,138.0,4934.415,222.4155,152.7781,4676.5224
145.88,138.0,4914.9717,202.0724,170.2635,4726.3163
116.27,138.0,4891.1294,191.2004,150.8945,4575.3233
163.0,138.0,4930.5703,59.7698,162.2212,4574.636
111.99,138.0,4887.0195,140.6633,179.0435,4630.2907
163.93,138.0,4903.5449,126.866,172.7142,4603.4626
117.47,138.0,4880.7939,147.4944,178.2126,4686.2085
103.99,138.0,4866.6182,174.8546,149.4818,4750.004
125.45,138.0,4841.5439,150.2338,156.4034,4806.2095
129.86,138.0,4816.5757,125.5717,195.0759,4798.4266
87.54,98.0,4850.3901,162.9293,190.8564,4984.3158
103.12,98.0,4822.8906,198.6985,208.9418,4883.52
