rt_true,da_true,load_true,rt_pred,da_pred,load_pred
29.86,40.3,3056.3396,31.3672,54.9514,3171.9226
34.68,40.3,3035.2383,33.2538,54.1379,3152.4038
33.85,40.3,3021.6572,36.2132,55.773,3065.251
30.08,40.3,2995.9084,33.9939,53.2947,3044.2325
29.61,40.3,2993.4985,33.9952,58.401,3030.095
27.81,40.3,2972.502,37.1763,56.2815,2993.1428
25.53,40.3,2957.269,31.5655,53.4533,2984.2833
25.64,40.3,2943.145,31.7257,47.7806,2985.6856
25.69,40.3,2906.228,30.0459,49.4684,2926.2485
24.91,40.3,2900.9932,31.9185,48.2861,2910.6004
22.32,40.3,2881.2742,32.7071,50.9842,2827.7097
40.45,38.59,2885.6357,35.354,49.8908,2825.2461
39.76,38.59,2883.21,25.0996,33.1659,2730.3051
34.84,38.59,2880.0432,29.4631,33.9758,2681.3052
33.89,38.59,2874.0679,26.9647,26.1556,2670.727
33.89,38.59,2852.7805,26.9393,31.6771,2663.6418
33.83,38.59,2831.6128,22.954,22.2762,2668.1411
31.27,38.59,2808.6355,22.4991,21.9825,2671.9448
31.15,38.59,2796.52,27.1867,17.1386,2665.6227
30.0,38.59,2775.2039,22.8745,25.9761,2630.7539
29.98,38.59,2767.5674,25.096,30.5836,2631.614
29.59,38.59,2752.8574,19.4131,32.3895,2586.2618
27.81,38.59,2738.0645,23.3892,33.3383,2574.2844
39.58,36.67,2747.0298,20.4965,33.2005,2556.7234
35.64,36.67,2718.9731,34.2031,26.4326,2588.5398
34.95,36.67,2716.0479,29.336,29.073,2606.4312
35.11,36.67,2715.1721,29.686,43.1756,2603.3293
35.28,36.67,2693.7539,22.3616,39.2896,2627.9084
35.16,36.67,2724.9216,24.8138,30.3106,2608.8126
34.6,36.67,2690.8145,21.484,28.846,2587.0011
32.5,36.67,2698.5698,16.1564,22.8461,2585.8606
32.46,36.67,2667.5942,24.1392,22.5792,2568.9453
33.74,36.67,2680.9141,21.6396,22.6758,2551.4629
34.6,36.67,2659.3657,23.7886,28.0998,2526.9351
